HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
428.505,14.5,428.505,10.28,428.505,11.06,
428.732,11.5,428.732,11.28,428.732,17.06,
428.958,9.5,428.958,11.28,428.958,14.06,
429.185,13.5,429.185,7.28,429.185,18.06,
429.412,10.5,429.412,11.28,429.412,16.06,
429.638,13.5,429.638,7.28,429.638,14.06,
429.865,7.5,429.865,5.28,429.865,13.06,
430.092,9.5,430.092,9.28,430.092,12.06,
430.319,7.5,430.319,12.28,430.319,12.06,
430.545,10.5,430.545,11.28,430.545,18.06,
430.772,12.5,430.772,5.28,430.772,15.06,
430.999,12.5,430.999,7.28,430.999,17.06,
431.225,10.5,431.225,9.28,431.225,14.06,
431.452,11.5,431.452,9.28,431.452,12.06,
431.679,15.5,431.679,11.28,431.679,12.06,
431.905,8.5,431.905,7.28,431.905,11.06,
432.132,10.5,432.132,11.28,432.132,13.06,
432.358,15.5,432.358,8.28,432.358,16.06,
432.585,12.5,432.585,11.28,432.585,14.06,
432.812,11.5,432.812,12.28,432.812,16.06,
433.038,9.5,433.038,7.28,433.038,14.06,
433.265,12.5,433.265,6.28,433.265,12.06,
433.492,15.5,433.492,10.28,433.492,10.06,
433.718,14.5,433.718,14.28,433.718,14.06,
433.945,9.5,433.945,11.28,433.945,14.06,
434.171,18.5,434.171,17.28,434.171,21.06,
434.398,12.5,434.398,7.28,434.398,14.06,
434.625,13.5,434.625,11.28,434.625,18.06,
434.851,13.5,434.851,14.28,434.851,14.06,
435.078,10.5,435.078,11.28,435.078,14.06,
435.304,6.5,435.304,12.28,435.304,13.06,
435.531,16.5,435.531,12.28,435.531,13.06,
435.758,10.5,435.758,9.28,435.758,17.06,
435.984,11.5,435.984,14.28,435.984,16.06,
436.211,13.5,436.211,9.28,436.211,17.06,
436.437,18.5,436.437,16.28,436.437,22.06,
436.664,27.5,436.664,21.28,436.664,26.06,
436.89,90.5,436.89,67.28,436.89,57.06,
437.117,219.5,437.117,217.28,437.117,225.06,
437.344,201.5,437.344,266.28,437.344,296.06,
437.57,83.5,437.57,189.28,437.57,305.06,
437.797,22.5,437.797,35.28,437.797,79.06,
438.023,21.5,438.023,24.28,438.023,27.06,
