HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
635.057,9.08,635.057,8.77,635.057,8.92,8.923333333,,,,,,,,,
635.075,-2.92,635.075,20.77,635.075,2.92,6.923333333,,,,,,,,,
635.093,-5.92,635.093,-0.23,635.093,2.92,-1.076666667,,,,,,,,,
635.11,-2.92,635.11,4.77,635.11,5.92,2.59,,,,,,,,,
635.128,-6.92,635.128,2.77,635.128,7.92,1.256666667,,,,,,,,,
635.145,-5.92,635.145,-5.23,635.145,-2.08,-4.41,,,,,,,,,
635.163,5.08,635.163,6.77,635.163,4.92,5.59,,,,,,,,,
635.181,-0.92,635.181,3.77,635.181,-1.08,0.59,,,,,,,,,
635.198,5.08,635.198,7.77,635.198,12.92,8.59,,,,,,,,,
635.216,2.08,635.216,-6.23,635.216,-0.08,-1.41,,,,,,,,,
635.233,-13.92,635.233,-12.23,635.233,6.92,-6.41,,,,,,,,,
635.251,-9.92,635.251,14.77,635.251,10.92,5.256666667,,,,,,,,,
635.268,-13.92,635.268,1.77,635.268,-11.08,-7.743333333,,,,,,,,,
635.286,-9.92,635.286,-7.23,635.286,1.92,-5.076666667,,,,,,,,,
635.304,-11.92,635.304,-3.23,635.304,-10.08,-8.41,,,,,,,,,
635.321,-20.92,635.321,-13.23,635.321,-29.08,-21.07666667,,,,,,,,,
635.339,-3.92,635.339,-11.23,635.339,-33.08,-16.07666667,,,,,,,,,
635.356,-9.92,635.356,-20.23,635.356,-22.08,-17.41,,,,,,,,,
635.374,-5.92,635.374,-9.23,635.374,-10.08,-8.41,,,,,,,,,
635.391,-4.92,635.391,-2.23,635.391,-16.08,-7.743333333,,,,,,,,,
635.409,-1.92,635.409,4.77,635.409,-22.08,-6.41,,,,,,,,,
635.426,-8.92,635.426,13.77,635.426,-9.08,-1.41,,,,,,,,,
635.444,-3.92,635.444,-12.23,635.444,-5.08,-7.076666667,,,,,,,,,
635.462,-15.92,635.462,-11.23,635.462,-0.08,-9.076666667,,,,,,,,,
635.479,-12.92,635.479,-10.23,635.479,11.92,-3.743333333,,,,,,,,,
635.497,-0.92,635.497,1.77,635.497,1.92,0.9233333333,,,,,,,,,
635.514,-2.92,635.514,2.77,635.514,-7.08,-2.41,,,,,,,,,
635.532,-14.92,635.532,-6.23,635.532,-11.08,-10.74333333,,,,,,,,,
635.549,-5.92,635.549,0.77,635.549,1.92,-1.076666667,,,,,,,,,
