HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
633.41,4.23,633.41,4.23,633.41,-12.15,-1.23
633.428,12.23,633.428,12.23,633.428,12.85,12.43666667
633.446,14.23,633.446,14.23,633.446,2.85,10.43666667
633.463,-3.77,633.463,-3.77,633.463,0.85,-2.23
633.481,-4.77,633.481,-4.77,633.481,-4.15,-4.563333333
633.499,-0.77,633.499,-0.77,633.499,-11.15,-4.23
633.517,-0.77,633.517,-0.77,633.517,4.85,1.103333333
633.535,-20.77,633.535,-20.77,633.535,4.85,-12.23
633.552,-2.77,633.552,-2.77,633.552,-5.15,-3.563333333
633.57,0.23,633.57,0.23,633.57,4.85,1.77
633.588,2.23,633.588,2.23,633.588,-16.15,-3.896666667
633.606,-4.77,633.606,-4.77,633.606,-0.15,-3.23
633.624,-3.77,633.624,-3.77,633.624,23.85,5.436666667
633.641,8.23,633.641,8.23,633.641,15.85,10.77
633.659,-2.77,633.659,-2.77,633.659,-7.15,-4.23
633.677,-9.77,633.677,-9.77,633.677,-14.15,-11.23
633.695,-2.77,633.695,-2.77,633.695,-0.15,-1.896666667
633.713,14.23,633.713,14.23,633.713,13.85,14.10333333
633.73,6.23,633.73,6.23,633.73,25.85,12.77
633.748,5.23,633.748,5.23,633.748,4.85,5.103333333
633.766,-0.77,633.766,-0.77,633.766,-3.15,-1.563333333
633.784,9.23,633.784,9.23,633.784,11.85,10.10333333
633.802,7.23,633.802,7.23,633.802,-10.15,1.436666667
633.819,10.23,633.819,10.23,633.819,-6.15,4.77
633.837,3.23,633.837,3.23,633.837,-3.15,1.103333333
633.855,-12.77,633.855,-12.77,633.855,-7.15,-10.89666667
633.873,-15.77,633.873,-15.77,633.873,-17.15,-16.23
633.89,-13.77,633.89,-13.77,633.89,-10.15,-12.56333333
633.908,1.23,633.908,1.23,633.908,3.85,2.103333333
633.926,1.23,633.926,1.23,633.926,-2.15,0.1033333333
633.944,11.23,633.944,11.23,633.944,1.85,8.103333333
633.961,0.23,633.961,0.23,633.961,-4.15,-1.23
633.979,9.23,633.979,9.23,633.979,0.85,6.436666667
633.997,-10.77,633.997,-10.77,633.997,-4.15,-8.563333333
634.015,-1.77,634.015,-1.77,634.015,12.85,3.103333333
634.032,13.23,634.032,13.23,634.032,24.85,17.10333333
634.05,23.23,634.05,23.23,634.05,25.85,24.10333333
634.068,12.23,634.068,12.23,634.068,-2.15,7.436666667
634.086,27.23,634.086,27.23,634.086,26.85,27.10333333
634.103,20.23,634.103,20.23,634.103,20.85,20.43666667
634.121,9.23,634.121,9.23,634.121,8.85,9.103333333
634.139,25.23,634.139,25.23,634.139,2.85,17.77
634.157,22.23,634.157,22.23,634.157,0.85,15.10333333
634.174,-3.77,634.174,-3.77,634.174,7.85,0.1033333333
634.192,-13.77,634.192,-13.77,634.192,-17.15,-14.89666667
634.21,-1.77,634.21,-1.77,634.21,-15.15,-6.23
634.227,17.23,634.227,17.23,634.227,6.85,13.77
634.245,23.23,634.245,23.23,634.245,18.85,21.77
634.263,12.23,634.263,12.23,634.263,4.85,9.77
634.281,11.23,634.281,11.23,634.281,12.85,11.77
634.298,27.23,634.298,27.23,634.298,16.85,23.77
634.316,21.23,634.316,21.23,634.316,2.85,15.10333333
634.334,4.23,634.334,4.23,634.334,-7.15,0.4366666667
634.351,-17.77,634.351,-17.77,634.351,-12.15,-15.89666667
634.369,-2.77,634.369,-2.77,634.369,-14.15,-6.563333333
634.387,15.23,634.387,15.23,634.387,1.85,10.77
634.404,12.23,634.404,12.23,634.404,9.85,11.43666667
634.422,-6.77,634.422,-6.77,634.422,-2.15,-5.23
634.44,-5.77,634.44,-5.77,634.44,-4.15,-5.23
634.458,-9.77,634.458,-9.77,634.458,-5.15,-8.23
634.475,9.23,634.475,9.23,634.475,17.85,12.10333333
634.493,21.23,634.493,21.23,634.493,16.85,19.77
634.511,-0.77,634.511,-0.77,634.511,-6.15,-2.563333333
634.528,-8.77,634.528,-8.77,634.528,-5.15,-7.563333333
634.546,8.23,634.546,8.23,634.546,-5.15,3.77
634.564,9.23,634.564,9.23,634.564,-6.15,4.103333333
634.581,6.23,634.581,6.23,634.581,-22.15,-3.23
634.599,21.23,634.599,21.23,634.599,-5.15,12.43666667
634.617,13.23,634.617,13.23,634.617,5.85,10.77
634.634,8.23,634.634,8.23,634.634,9.85,8.77
634.652,11.23,634.652,11.23,634.652,1.85,8.103333333
634.67,-6.77,634.67,-6.77,634.67,7.85,-1.896666667
634.687,9.23,634.687,9.23,634.687,5.85,8.103333333
634.705,4.23,634.705,4.23,634.705,-6.15,0.77
634.723,-3.77,634.723,-3.77,634.723,-3.15,-3.563333333
634.74,8.23,634.74,8.23,634.74,4.85,7.103333333
634.758,13.23,634.758,13.23,634.758,4.85,10.43666667
634.775,0.23,634.775,0.23,634.775,-4.15,-1.23
634.793,9.23,634.793,9.23,634.793,0.85,6.436666667
634.811,18.23,634.811,18.23,634.811,23.85,20.10333333
634.828,3.23,634.828,3.23,634.828,17.85,8.103333333
634.846,8.23,634.846,8.23,634.846,-5.15,3.77
634.864,-6.77,634.864,-6.77,634.864,-13.15,-8.896666667
634.881,10.23,634.881,10.23,634.881,-2.15,6.103333333
634.899,5.23,634.899,5.23,634.899,-12.15,-0.5633333333
634.917,-4.77,634.917,-4.77,634.917,-10.15,-6.563333333
634.934,-4.77,634.934,-4.77,634.934,-12.15,-7.23
634.952,13.23,634.952,13.23,634.952,9.85,12.10333333
634.969,12.23,634.969,12.23,634.969,-2.15,7.436666667
634.987,8.23,634.987,8.23,634.987,-10.15,2.103333333
635.005,1.23,635.005,1.23,635.005,-3.15,-0.23
635.022,-5.77,635.022,-5.77,635.022,6.85,-1.563333333
635.04,-2.77,635.04,-2.77,635.04,-5.15,-3.563333333
635.057,1.23,635.057,1.23,635.057,0.85,1.103333333
635.075,-8.77,635.075,-8.77,635.075,-3.15,-6.896666667
635.093,15.23,635.093,15.23,635.093,5.85,12.10333333
635.11,15.23,635.11,15.23,635.11,9.85,13.43666667
635.128,19.23,635.128,19.23,635.128,-1.15,12.43666667
635.145,12.23,635.145,12.23,635.145,-15.15,3.103333333
635.163,13.23,635.163,13.23,635.163,11.85,12.77
635.181,0.23,635.181,0.23,635.181,5.85,2.103333333
