H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
635.233,-6.62,635.233,12.15,635.233,-3.92,0.5366666667
635.251,8.38,635.251,23.15,635.251,8.08,13.20333333
635.268,-4.62,635.268,5.15,635.268,6.08,2.203333333
635.286,7.38,635.286,5.15,635.286,13.08,8.536666667
635.304,0.38,635.304,8.15,635.304,-3.92,1.536666667
635.321,-4.62,635.321,4.15,635.321,-17.92,-6.13
635.339,-11.62,635.339,-15.85,635.339,-2.92,-10.13
635.356,-0.62,635.356,-10.85,635.356,16.08,1.536666667
635.374,3.38,635.374,13.15,635.374,4.08,6.87
635.391,-9.62,635.391,6.15,635.391,-13.92,-5.796666667
635.409,-1.62,635.409,1.15,635.409,2.08,0.5366666667
635.426,-0.62,635.426,11.15,635.426,7.08,5.87
635.444,-0.62,635.444,8.15,635.444,2.08,3.203333333
635.462,-9.62,635.462,4.15,635.462,-8.92,-4.796666667
635.479,-3.62,635.479,8.15,635.479,5.08,3.203333333
635.497,4.38,635.497,6.15,635.497,18.08,9.536666667
635.514,7.38,635.514,4.15,635.514,11.08,7.536666667
635.532,-4.62,635.532,6.15,635.532,-9.92,-2.796666667
635.549,-3.62,635.549,1.15,635.549,2.08,-0.13
635.567,-3.62,635.567,2.15,635.567,2.08,0.2033333333
635.584,13.38,635.584,17.15,635.584,2.08,10.87
635.602,37.38,635.602,36.15,635.602,14.08,29.20333333
635.619,44.38,635.619,29.15,635.619,38.08,37.20333333
635.637,-0.62,635.637,0.15,635.637,1.08,0.2033333333
635.654,13.38,635.654,14.15,635.654,6.08,11.20333333
635.672,-4.62,635.672,3.15,635.672,-3.92,-1.796666667
635.689,0.38,635.689,5.15,635.689,-0.92,1.536666667
635.707,-2.62,635.707,4.15,635.707,6.08,2.536666667
635.724,-7.62,635.724,9.15,635.724,17.08,6.203333333
635.742,-3.62,635.742,-5.85,635.742,6.08,-1.13
635.759,-3.62,635.759,-5.85,635.759,3.08,-2.13
635.777,-0.62,635.777,-6.85,635.777,-1.92,-3.13
635.795,4.38,635.795,13.15,635.795,18.08,11.87
635.812,8.38,635.812,27.15,635.812,15.08,16.87
635.829,-5.62,635.829,7.15,635.829,6.08,2.536666667
635.847,-17.62,635.847,-6.85,635.847,-6.92,-10.46333333
635.864,-6.62,635.864,9.15,635.864,16.08,6.203333333
635.882,-2.62,635.882,9.15,635.882,15.08,7.203333333
635.899,3.38,635.899,12.15,635.899,17.08,10.87
635.917,-16.62,635.917,11.15,635.917,7.08,0.5366666667
635.934,3.38,635.934,10.15,635.934,3.08,5.536666667
635.952,-6.62,635.952,11.15,635.952,4.08,2.87
635.969,2.38,635.969,20.15,635.969,-5.92,5.536666667
635.987,16.38,635.987,14.15,635.987,10.08,13.53666667
636.004,31.38,636.004,25.15,636.004,29.08,28.53666667
636.022,5.38,636.022,19.15,636.022,17.08,13.87
636.039,1.38,636.039,5.15,636.039,3.08,3.203333333
636.057,28.38,636.057,27.15,636.057,26.08,27.20333333
636.074,-5.62,636.074,8.15,636.074,-1.92,0.2033333333
636.092,-1.62,636.092,2.15,636.092,-16.92,-5.463333333
636.109,-6.62,636.109,4.15,636.109,-4.92,-2.463333333
636.127,12.38,636.127,7.15,636.127,-7.92,3.87
636.144,11.38,636.144,0.15,636.144,1.08,4.203333333
636.161,10.38,636.161,12.15,636.161,16.08,12.87
636.179,2.38,636.179,-3.85,636.179,5.08,1.203333333
636.196,3.38,636.196,-5.85,636.196,3.08,0.2033333333
636.214,1.38,636.214,-8.85,636.214,-5.92,-4.463333333
636.231,6.38,636.231,14.15,636.231,-7.92,4.203333333
636.249,3.38,636.249,10.15,636.249,4.08,5.87
636.266,8.38,636.266,-4.85,636.266,7.08,3.536666667
636.283,14.38,636.283,20.15,636.283,11.08,15.20333333
636.301,-4.62,636.301,5.15,636.301,-0.92,-0.13
636.318,-2.62,636.318,-1.85,636.318,-5.92,-3.463333333
636.336,-4.62,636.336,-2.85,636.336,-2.92,-3.463333333
636.353,-1.62,636.353,0.15,636.353,11.08,3.203333333
636.371,-9.62,636.371,15.15,636.371,31.08,12.20333333
636.388,10.38,636.388,2.15,636.388,14.08,8.87
636.405,1.38,636.405,9.15,636.405,6.08,5.536666667
636.423,-5.62,636.423,15.15,636.423,7.08,5.536666667
636.44,0.38,636.44,10.15,636.44,20.08,10.20333333
636.458,-19.62,636.458,-6.85,636.458,-2.92,-9.796666667
636.475,-14.62,636.475,7.15,636.475,-13.92,-7.13
636.492,-4.62,636.492,9.15,636.492,-5.92,-0.4633333333
636.51,-12.62,636.51,8.15,636.51,-2.92,-2.463333333
636.527,-7.62,636.527,6.15,636.527,2.08,0.2033333333
636.545,0.38,636.545,8.15,636.545,-5.92,0.87
636.562,0.38,636.562,-5.85,636.562,1.08,-1.463333333
636.579,-0.62,636.579,-15.85,636.579,-4.92,-7.13
636.597,-13.62,636.597,-5.85,636.597,-11.92,-10.46333333
636.614,7.38,636.614,11.15,636.614,6.08,8.203333333
636.632,3.38,636.632,-4.85,636.632,-2.92,-1.463333333
636.649,21.38,636.649,11.15,636.649,17.08,16.53666667
636.666,17.38,636.666,12.15,636.666,6.08,11.87
636.684,15.38,636.684,5.15,636.684,0.08,6.87
636.701,-2.62,636.701,8.15,636.701,5.08,3.536666667
636.718,1.38,636.718,-9.85,636.718,-6.92,-5.13
636.736,-3.62,636.736,0.15,636.736,3.08,-0.13
636.753,15.38,636.753,23.15,636.753,8.08,15.53666667
636.771,4.38,636.771,4.15,636.771,14.08,7.536666667
636.788,3.38,636.788,-2.85,636.788,11.08,3.87
636.805,8.38,636.805,-1.85,636.805,7.08,4.536666667
636.823,5.38,636.823,5.15,636.823,-0.92,3.203333333
636.84,-3.62,636.84,1.15,636.84,6.08,1.203333333
636.857,-12.62,636.857,7.15,636.857,1.08,-1.463333333
636.875,-20.62,636.875,-5.85,636.875,-4.92,-10.46333333
636.892,-24.62,636.892,2.15,636.892,1.08,-7.13
636.909,6.38,636.909,11.15,636.909,7.08,8.203333333
636.927,-0.62,636.927,12.15,636.927,5.08,5.536666667
636.944,-5.62,636.944,3.15,636.944,-9.92,-4.13
636.961,-9.62,636.961,-9.85,636.961,-11.92,-10.46333333
636.979,-26.62,636.979,-10.85,636.979,-5.92,-14.46333333
636.996,-6.62,636.996,-9.85,636.996,-0.92,-5.796666667
637.013,9.38,637.013,-10.85,637.013,-5.92,-2.463333333
637.031,-9.62,637.031,19.15,637.031,4.08,4.536666667
637.048,-21.62,637.048,11.15,637.048,-7.92,-6.13
637.065,-12.62,637.065,12.15,637.065,5.08,1.536666667
637.083,-6.62,637.083,8.15,637.083,4.08,1.87
637.1,-6.62,637.1,0.15,637.1,-0.92,-2.463333333
637.117,5.38,637.117,-7.85,637.117,-4.92,-2.463333333
637.135,12.38,637.135,7.15,637.135,24.08,14.53666667
637.152,0.38,637.152,10.15,637.152,24.08,11.53666667
637.169,-1.62,637.169,8.15,637.169,20.08,8.87
637.187,-6.62,637.187,2.15,637.187,5.08,0.2033333333
637.204,2.38,637.204,9.15,637.204,17.08,9.536666667
637.221,9.38,637.221,8.15,637.221,6.08,7.87
637.238,6.38,637.238,3.15,637.238,-2.92,2.203333333
637.256,24.38,637.256,23.15,637.256,22.08,23.20333333
637.273,7.38,637.273,2.15,637.273,16.08,8.536666667
637.29,8.38,637.29,3.15,637.29,8.08,6.536666667
637.308,-8.62,637.308,-17.85,637.308,6.08,-6.796666667
637.325,-4.62,637.325,-17.85,637.325,-1.92,-8.13
637.342,-11.62,637.342,-1.85,637.342,6.08,-2.463333333
637.359,-9.62,637.359,16.15,637.359,22.08,9.536666667
637.377,20.38,637.377,20.15,637.377,32.08,24.20333333
637.394,48.38,637.394,55.15,637.394,43.08,48.87
637.411,7.38,637.411,7.15,637.411,11.08,8.536666667
637.428,-7.62,637.428,-6.85,637.428,14.08,-0.13
637.446,-1.62,637.446,-15.85,637.446,-2.92,-6.796666667
637.463,19.38,637.463,5.15,637.463,8.08,10.87
637.48,20.38,637.48,30.15,637.48,23.08,24.53666667
637.498,4.38,637.498,17.15,637.498,15.08,12.20333333
637.515,-4.62,637.515,11.15,637.515,14.08,6.87
637.532,4.38,637.532,8.15,637.532,13.08,8.536666667
637.549,-8.62,637.549,-1.85,637.549,-1.92,-4.13
637.567,-10.62,637.567,-14.85,637.567,-9.92,-11.79666667
637.584,9.38,637.584,2.15,637.584,10.08,7.203333333
637.601,0.38,637.601,-7.85,637.601,13.08,1.87
637.618,1.38,637.618,5.15,637.618,5.08,3.87
